peso,valor
36,83
13,56
75,19
72,94
45,86
78,22
58,86
36,81
30,44
80,81
99,19
63,18
87,44
41,14
58,89
74,58
81,18
54,68
32,75
47,17
85,49
55,95
26,48
47,100
70,21
60,67
81,91
84,89
29,60
96,52
42,39
70,80
10,91
21,33
32,49
36,72
80,75
10,71
98,85
59,34
72,94
52,32
69,58
25,47
93,87
87,27
95,37
68,95
86,55
66,55
27,52
79,88
79,40
71,73
81,22
67,22
66,60
67,17
46,47
16,88
89,54
29,61
69,24
87,66
49,84
96,22
15,96
58,89
35,39
24,35
14,64
41,66
90,45
36,74
62,28
92,79
79,39
67,33
81,75
79,70
16,28
19,22
31,74
21,93
90,47
89,73
45,93
93,12
22,67
95,55
87,43
18,22
48,98
32,46
40,86
77,96
23,45
84,63
20,87
48,11
